id,thread_id,body,timestamp,timestamp_collected,timestamp_ago,is_promoted,author,author_name,author_description,author_pronouns,author_avatar_url,author_is_company,author_url,author_mentions,author_name_mentions,hashtags,image_urls,video_thumb_url,post_url,link_url,comments,shares,reactions,reaction_like,reaction_empathy,reaction_praise,reaction_entertainment,reaction_appreciation,reaction_interest,inclusion_context,unix_timestamp,unix_timestamp_collected,missing_fields
7368749615623426048,7368749615623426048,ChatGPT is set to roll out parental controls for teen users next month. How awesome is that?,2025-09-03 12:33:57,2025-09-08 12:33:57,5d,no,in/asksnehasish,Snehasish Nayak,Project Manager @Accenture | Automation Champion | eComm & Creative Ops Expert | 8.5+ yrs in Global Content & Digital Transformation,,https://media.licdn.com/dms/image/v2/D4D03AQE5f0bZcd161g/profile-displayphoto-scale_200_200/B4DZjvgaDvIEAc-/0/1756364907337?e=1759968000&v=beta&t=KSlKa_hQGKxs2EgETmPiedyl2RY3khjailZIR1kDcUs,no,https://www.linkedin.com/in/asksnehasish,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7368749615623426048,,0,0,0,0,0,0,0,0,0,,1756902837,1757334837,
7368963444248645633,7368963444248645633,"Chat control is a terrible idea, one of the worst ideas in tech-related legislation ever. Fortunately, there is still time to stop it:

https://lnkd.in/g4SGS3v5

I'm so ashamed by the position of our (Slovak) representatives, always standing at the wrong side of the history. However, I have contacted them - and you should too!",2025-09-03 12:33:57,2025-09-08 12:33:57,5d,no,in/semancik,Radovan Semančík,Co-founder and Software Architect at Evolveum,,,no,https://www.linkedin.com/in/semancik,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7368963444248645633,https://fightchatcontrol.eu/,2,1,17,13,0,0,0,3,1,,1756902837,1757334837,
7367463609272025088,7367463609272025088,"🔒 Why I’m against the EU “Chat Control” law

The European Commission says this law is about “protecting children.” But let’s be honest: mass surveillance of everyone’s private messages won’t stop traffickers. It will mostly weaken encryption, threaten journalists, whistleblowers, and ordinary citizens — while criminals will just move to other channels.

👉 If protecting children was really the priority, there are better solutions:
	•	Increase the budget of specialized police units, like the OCRTEH in France, which fights child trafficking and sexual exploitation every day on the field. These teams know how to dismantle networks — but they are underfunded and understaffed.
	•	Strengthen international cooperation between Europol, Interpol, and national brigades for minors. Trafficking is cross-border, and so should be the response.
	•	Support victim protection services, like child welfare and NGOs, to ensure children are rescued and protected in the long term.

💡 Real child protection means giving more tools and resources to those who actually hunt down predators — not scanning the private conversations of millions of innocent citizens.

📢 Take action: Learn more and let your voice be heard at stopchatcontrol.eu. and fightchatcontrol.eu, Contact your MEPs and parliamentarians to tell them you oppose this law. Every message counts.",2025-09-01 12:33:57,2025-09-08 12:33:57,1w,no,in/julie-margareth-toussaint,Julie Toussaint,Bibliothécaire spécialisée / Librarian specialist chez Université du Luxembourg,,https://media.licdn.com/dms/image/v2/C5603AQFDfj3KM50E3g/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1580283723970?e=1759968000&v=beta&t=S8lwfmuNu_p8nM8dVWb-UdGwRccsgWAMMIfyGGv6gWo,no,https://www.linkedin.com/in/julie-margareth-toussaint,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7367463609272025088,http://stopchatcontrol.eu,3,2,12,12,0,0,0,0,0,,1756730037,1757334837,
7369720780948934662,7369720780948934662,working on this was so challenging yet so delighting✨💙,2025-09-06 12:34:02,2025-09-08 12:34:02,2d,no,in/rana-mohamed-872a291a7,Rana Mohamed,Aspiring Software Engineer,,https://media.licdn.com/dms/image/v2/D4D03AQF-xznCUyFZnw/profile-displayphoto-scale_200_200/B4DZkSNKwYIcAc-/0/1756947068126?e=1759968000&v=beta&t=x6R1iJN9p8yUsf_rUOM-yMThLx00A8H_JFijwCBzdWQ,no,https://www.linkedin.com/in/rana-mohamed-872a291a7,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7369720780948934662,,2,0,3,0,0,3,0,0,0,,1757162042,1757334842,
7368277681798381576,7368277681798381576,"⚠️ ChatGPT Privacy Tip ⚠️

By default, ChatGPT has “Improve the model for everyone” turned ON — meaning your chats (and even audio/video if used) may be used to train the AI.

👉 Go to Settings → Data Controls and switch it OFF if you don’t want your data used.

✅ What this means:
	•	When ON → Your content may be reviewed and used to make the AI better.
	•	When OFF → Your chats are not used to train the model.

I recommend everyone check this setting and make sure it aligns with your privacy preferences.

💡 Sharing this so more people are aware — sometimes the most important settings are hidden in plain sight.",2025-09-02 12:34:02,2025-09-08 12:34:02,6d,no,in/angelocarlotto,Angelo Carlotto,Full Stack .NET Developer | CSharp | Javascript | Docker | TSQL | Customer Service | AI Face recognition,,https://media.licdn.com/dms/image/v2/D5603AQESwFpQW9QHsA/profile-displayphoto-shrink_800_800/B56ZTxwL7eGoAg-/0/1739222728800?e=1759968000&v=beta&t=Bz-IyQUrOmf02wcqaXDBIgBJmyjZCLWcC84UVcVK0Tc,no,https://www.linkedin.com/in/angelocarlotto,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7368277681798381576,,6,0,22,21,0,0,0,0,1,,1756816442,1757334842,
7368713276253302785,7368713276253302785,"I’m a big fan of Mistral 🇫🇷 🗼 🥖 🥐 
Big fan of Le Chat 😺 
And now… most of my AI conversations are definitely moving there. 🚀

Why? Because today Le Chat just leveled up massively:

🤯  Memories:
 Le Chat can now remember what matters. Personalized, context-aware responses that carry over time — with full control to add, edit, or delete. 𝗘𝘃𝗲𝗻 𝗯𝗲𝘁𝘁𝗲𝗿: 𝘆𝗼𝘂 𝗰𝗮𝗻 𝗳𝗮𝘀𝘁-𝗶𝗺𝗽𝗼𝗿𝘁 𝘆𝗼𝘂𝗿 𝗺𝗲𝗺𝗼𝗿𝗶𝗲𝘀 𝗳𝗿𝗼𝗺 𝗖𝗵𝗮𝘁𝗚𝗣𝗧.

🔌  20+ New Connectors:
 A whole directory of enterprise-ready, MCP-powered integrations. From Databricks, Snowflake, GitHub, Atlassian, Asana, Box, Stripe, Zapier, Outlook… to custom connectors you can build yourself. Le Chat becomes the single surface where data, documents, and workflows converge.

🔐  Privacy-first, flexible deployment:
 Self-hosted, your cloud, or Mistral Cloud. Admins keep full control of access and permissions.

The result? Le Chat is no longer just a chat interface. It’s evolving into a connected, enterprise-ready AI workspace that learns your way of working without compromising privacy.

For me, this is a big milestone and right now my favorite option across ChatGPT, Claude or Gemini.

Everything already available on the Free plan! (more info in the comments)

Kudos to Arthur Mensch and the entire Mistral AI team!!!

#ai #genai",2025-09-03 12:34:02,2025-09-08 12:34:02,5d,no,in/eordax,Eduardo Ordax,🤖 Generative AI Lead @ AWS ☁️ (150k+) | Startup Advisor | Public Speaker | AI Outsider,,https://media.licdn.com/dms/image/v2/D4D03AQHB4soLey_GDw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1706822486276?e=1759968000&v=beta&t=4_tKrHiwIpveMhRTX6TQzrwfLTk7p0qC3ryOvF5FcLU,no,https://www.linkedin.com/in/eordax,,,"ai,genai",,https://media.licdn.com/dms/image/v2/D4D05AQH4-OnvJvD44g/videocover-low/B4DZkLtnxxHYCI-/0/1756838135223?e=1757941200&v=beta&t=YgiT6kHx3f_fCUOwRH_X-loqV9GiEPRhYPmvVs4Q6qg,https://www.linkedin.com/feed/update/urn:li:activity:7368713276253302785,,38,15,378,303,14,23,0,5,33,,1756902842,1757334842,
7369764728681783297,7369764728681783297,"𝗔 𝟭𝟲-𝘆𝗲𝗮𝗿-𝗼𝗹𝗱 𝗶𝘀 𝗱𝗲𝗮𝗱. 𝗛𝗶𝘀 𝗳𝗮𝗺𝗶𝗹𝘆 𝗶𝘀 𝘀𝘂𝗶𝗻𝗴 OpenAI, 𝗮𝗹𝗹𝗲𝗴𝗶𝗻𝗴 𝗖𝗵𝗮𝘁𝗚𝗣𝗧 “𝗮𝗰𝘁𝗶𝘃𝗲𝗹𝘆 𝗰𝗼𝗮𝗰𝗵𝗲𝗱” 𝘁𝗵𝗲𝗶𝗿 𝘀𝗼𝗻 𝘁𝗼 𝘀𝘂𝗶𝗰𝗶𝗱𝗲.

This heartbreaking case highlights a critical turning point in discussions around ""𝗜𝘀 𝗔𝗜 𝗦𝗮𝗳𝗲𝘁𝘆 𝗕𝗲𝗶𝗻𝗴 𝗧𝗮𝗸𝗲𝗻 𝗦𝗲𝗿𝗶𝗼𝘂𝘀𝗹𝘆 𝗘𝗻𝗼𝘂𝗴𝗵""?

According to 𝗰𝗼𝘂𝗿𝘁 𝗱𝗼𝗰𝘂𝗺𝗲𝗻𝘁𝘀, 𝗖𝗵𝗮𝘁𝗚𝗣𝗧 𝗺𝗲𝗻𝘁𝗶𝗼𝗻𝗲𝗱 𝘀𝘂𝗶𝗰𝗶𝗱𝗲 𝟭,𝟮𝟳𝟱 𝘁𝗶𝗺𝗲𝘀 during conversations with Adam, allegedly validating his harmful thoughts. In response, OpenAI has announced a new suite of parental controls aimed at addressing these concerns:

→ 𝗔𝗰𝗰𝗼𝘂𝗻𝘁 𝗟𝗶𝗻𝗸𝗶𝗻𝗴: Parents can now link their accounts to their teens.

→ 𝗗𝗶𝘀𝘁𝗿𝗲𝘀𝘀 𝗡𝗼𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻𝘀: Alerts will notify parents if the system detects their teen is in ""acute distress.""

→ 𝗙𝗲𝗮𝘁𝘂𝗿𝗲 𝗠𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁: Parents can disable features like memory and chat history.

→ 𝗔𝗴𝗲-𝗔𝗽𝗽𝗿𝗼𝗽𝗿𝗶𝗮𝘁𝗲 𝗥𝘂𝗹𝗲𝘀: New controls will guide the chatbot to respond in an age-appropriate manner by default.

𝗕𝘂𝘁 𝗮𝗿𝗲 𝘁𝗵𝗲𝘀𝗲 𝗺𝗲𝗮𝘀𝘂𝗿𝗲𝘀 𝗲𝗻𝗼𝘂𝗴𝗵? 

Critics argue that these changes seem more like a PR response than a genuine commitment to user safety. The family’s lawyer, Jay Edelson, insists that the product should be pulled entirely, while others question the effectiveness of the new features.

𝗧𝗵𝗶𝘀 𝘀𝗶𝘁𝘂𝗮𝘁𝗶𝗼𝗻 𝗿𝗮𝗶𝘀𝗲𝘀 𝗲𝘀𝘀𝗲𝗻𝘁𝗶𝗮𝗹 𝗾𝘂𝗲𝘀𝘁𝗶𝗼𝗻𝘀 𝗳𝗼𝗿 𝘁𝗲𝗰𝗵 𝗹𝗲𝗮𝗱𝗲𝗿𝘀, 𝗽𝗮𝗿𝗲𝗻𝘁𝘀, 𝗮𝗻𝗱 𝘀𝗼𝗰𝗶𝗲𝘁𝘆. 𝗦𝗵𝗮𝗿𝗲 𝘆𝗼𝘂𝗿 𝘁𝗵𝗼𝘂𝗴𝗵𝘁𝘀 𝗶𝗻 𝘁𝗵𝗲 𝗰𝗼𝗺𝗺𝗲𝗻𝘁𝘀 𝗯𝗲𝗹𝗼𝘄!

#OpenAI #ChatGPT #AISafety #ParentalControls #TechEthics #MentalHealth #ResponsibleAI #OnlineSafety

Source: https://lnkd.in/dCj-KbqZ",2025-09-06 12:34:08,2025-09-08 12:34:08,2d,no,in/moohammad-akif,Muhammad Akif,Building AI-driven MVPs for tech startups in just 60 days | Founder/CEO at Techling LLC,,https://media.licdn.com/dms/image/v2/D4D03AQG-VZSlRr1vpg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1714542853011?e=1759968000&v=beta&t=UnbPztCG9-GwZ8bElHCshosilYpYMjz83LsnBYJWPEU,no,https://www.linkedin.com/in/moohammad-akif,,,"openai,chatgpt,aisafety,parentalcontrols,techethics,mentalhealth,responsibleai,onlinesafety",,,https://www.linkedin.com/feed/update/urn:li:activity:7369764728681783297,,11,1,20,15,3,1,0,1,0,,1757162048,1757334848,
7369681347650555906,7369681347650555906,"EU member states are once again discussing the introduction of Chat Control—a literal surveillance state nightmare.

Essentially, the Union would mandate every digital service provider with a chat interface, whether it's WhatsApp, Messenger, or others, to scan users' messages before they are sent. This way, countries like Denmark argue, the EU will be better positioned to combat the spread of child sexual abuse material.

It's a noble cause—but the solution is drastic overreach.

Worse still, proponents are using misleading messaging to promote it. For instance, the latest legislative proposal claims the regulation wouldn’t prohibit end-to-end encryption in messaging apps. 

As the cybersecurity expert, Ivan Makatura, tells me, that’s not technically a lie, but it’s fundamentally a bullshit argument. If messages are scanned before they’re encrypted, encryption becomes meaningless.

Chat Control could mark an unprecedented attack on privacy in Europe. It appears to be a broad assault on encryption itself, posing a serious cybersecurity threat, especially when it comes to sensitive information.

The good news? Most of the public—and digital rights activists—still have a strong gag reflex toward mass surveillance. And politicians are starting to reflect that sentiment. Finland, Czechia, and Slovakia backed away from supporting Chat Control.

The legislation still has to go through EU Council negotiations and then a vote in the European Parliament. 
There’s a good chance Chat Control will never come into effect—and that would be a welcome outcome. 
But if this story proves anything, it’s that public outcry can genuinely influence the outcome of an EU legal process. It’s a reminder of how important it is to stand up for your rights.

#chatcontrol #euregulation #europeanunion #privacy #technology",2025-09-05 12:34:08,2025-09-08 12:34:08,3d,no,in/tomashrivnakhwci,Tomáš Hrivňák,Journalist and Photographer,,https://media.licdn.com/dms/image/v2/D4E03AQFweC9s2baEuA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1666465825528?e=1759968000&v=beta&t=RTsohNcFfqtFgy7MbT7rPiJQu9UsGB_AfxXLjZ886_4,no,https://www.linkedin.com/in/tomashrivnakhwci,,,"chatcontrol,euregulation,europeanunion,privacy,technology",,,https://www.linkedin.com/feed/update/urn:li:activity:7369681347650555906,,4,2,14,13,0,0,0,0,1,,1757075648,1757334848,
7369258657911304194,7369258657911304194,"Teens using ChatGPT is inevitable.
But you’d want some oversight.

OpenAI is rolling out parental controls next month. And if you’ve got kids, this matters.

Here’s what you will be able to set:

→ Link your account to your teen’s
→ Turn off chat history + memory
→ Control content based on age
→ Get notified if the system spots serious distress

At home, don’t think control.
But coaching.

→ Use ChatGPT in open spaces
→ Set time-of-day limits
→ Remind: “AI gets it wrong too”
→ If a chat feels off, tell someone
→ For anything serious, go human-first

Your kid will use AI.
Help them do it right.",2025-09-04 12:34:08,2025-09-08 12:34:08,4d,no,in/nelly-lund,Nelly Lund,"Lead forward with AI | Performance Director @ Philips & speaker | EQ, Lean, Design Thinking, Gen AI | I help leaders turn AI into an unfair advantage.",,https://media.licdn.com/dms/image/v2/D4E03AQHNBW_k8Go5wg/profile-displayphoto-scale_100_100/B4EZiuBQKxGUAc-/0/1755266221626?e=1759968000&v=beta&t=OA3MBlu4LFBv3ZX_42mqmPFA_YXLagVIqrKQpCqB_A8,no,https://www.linkedin.com/in/nelly-lund,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7369258657911304194,,4,0,17,10,3,1,0,2,1,,1756989248,1757334848,
7369262489840017410,7369262489840017410,"Anthropic just gave users control on training data

Test any AI data policy with this framework

Anthropic’s email in my inbox yesterday struck me 

They were transparent on model training:

🟢 Opt-in: you choose if chats are used for training
🟢 Clear retention: 5 years max, delete controls
🟢 User control: change preferences anytime

This isn’t always the case.

I’ve reviewed 30+ sets of terms. It’s a maze.

Data terms buried deep if at all.

I found I needed a system. To:

→ Know data rights
→ Ask the right questions
→ Understand escalation paths 

No long policies or legal frameworks

Just a clear guide to challenge AI data hygiene.

Want the exact system?

Comment ""CHECKLIST"" and I’ll DM it over

(Repost for priority access)",2025-09-04 12:34:15,2025-09-08 12:34:15,4d,no,in/colincosgrove1,Colin Cosgrove,"Founder, Movizmo | Ethical AI Coaching for teams who want to scale with purpose | AI Governance | Snr Coach | Ex-Google",,https://media.licdn.com/dms/image/v2/D4E03AQFSzQaUQP_GBg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1729459392253?e=1759968000&v=beta&t=_jCrnCIQr00sGlS2ldMCJ21yMWo4hFiQCiclV63Nu_o,no,https://www.linkedin.com/in/colincosgrove1,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7369262489840017410,,13,0,16,11,1,0,0,3,1,,1756989255,1757334855,
